COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-04 18:00:02,160,15.83949097,8.37e-05,53.2178,52.3961,62.475,353.9226,0,999,331,-0.0042534,-0.00878169,0,3428763,0 STARLINK-3874,1 52365U 22045AL  22124.75002315 -.00878169  00000-0 -42534-2 0  9999,2 52365  53.2178  52.3961 0000837  62.4750 353.9226 15.83949097  3319,2022-045AL,52365,6697.422,90.912,319.848,318.727,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-05 14:00:01,224,15.82373913,0.0001024,53.2174,48.2116,79.9972,48.5634,0,999,344,-0.0045629,-0.00874415,0,3430290,0 STARLINK-3874,1 52365U 22045AL  22125.58334491 -.00874415  00000-0 -45629-2 0  9992,2 52365  53.2174  48.2116 0001024  79.9972  48.5634 15.82373913  3440,2022-045AL,52365,6701.866,91.003,324.418,323.045,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-05 14:00:01,224,15.82373913,0.0001024,53.2174,48.2116,79.9972,48.5634,0,999,141,-0.0045629,-0.00874415,0,3430353,0 STARLINK-3874,1 52365U 22045AL  22125.58334491 -.00874415  00000-0 -45629-2 0  9992,2 52365  53.2174  48.2116 0001024  79.9972  48.5634 15.82373913  1415,2022-045AL,52365,6701.866,91.003,324.418,323.045,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-05 22:00:00,999936,15.8174675,0.0001174,53.2176,46.541,80.4494,147.6782,0,999,146,-0.0047201,-0.00877903,0,3430750,0 STARLINK-3874,1 52365U 22045AL  22125.91667824 -.00877903  00000-0 -47201-2 0  9991,2 52365  53.2176  46.5410 0001174  80.4494 147.6782 15.81746750  1469,2022-045AL,52365,6703.638,91.039,326.29,324.716,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-06 08:00:01,224,15.80878082,0.0001015,53.2163,44.4556,91.0836,350.4813,0,999,356,-0.0042456,-0.00768073,0,3431450,0 STARLINK-3874,1 52365U 22045AL  22126.33334491 -.00768073  00000-0 -42456-2 0  9993,2 52365  53.2163  44.4556 0001015  91.0836 350.4813 15.80878082  3560,2022-045AL,52365,6706.093,91.089,328.639,327.278,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-06 14:00:01,224,15.80485702,9.4e-05,53.2176,43.2023,92.8824,332.1146,0,999,157,-0.0049792,-0.00873548,0,3432208,0 STARLINK-3874,1 52365U 22045AL  22126.58334491 -.00873548  00000-0 -49792-2 0  9994,2 52365  53.2176  43.2023 0000940  92.8824 332.1146 15.80485702  1570,2022-045AL,52365,6707.203,91.111,329.699,328.438,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-06 22:00:00,999936,15.79857423,0.0001145,53.2177,41.5365,82.2356,80.0596,0,999,365,-0.0051347,-0.00874975,0,3432645,0 STARLINK-3874,1 52365U 22045AL  22126.91667824 -.00874975  00000-0 -51347-2 0  9994,2 52365  53.2177  41.5365 0001145  82.2356  80.0596 15.79857423  3652,2022-045AL,52365,6708.981,91.147,331.614,330.078,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-07 14:00:01,224,15.78597803,9.42e-05,53.2173,38.207,95.9277,258.6993,0,999,173,-0.0054269,-0.00873077,0,3433971,0 STARLINK-3874,1 52365U 22045AL  22127.58334491 -.00873077  00000-0 -54269-2 0  9997,2 52365  53.2173  38.2070 0000942  95.9277 258.6993 15.78597803  1734,2022-045AL,52365,6712.55,91.22,335.047,333.782,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-07 20:00:01,224,15.78129573,0.0001041,53.2175,36.9607,102.594,233.3749,0,999,379,-0.0055814,-0.0087851,0,3434479,0 STARLINK-3874,1 52365U 22045AL  22127.83334491 -.00878510  00000-0 -55814-2 0  9999,2 52365  53.2175  36.9607 0001041 102.5940 233.3749 15.78129573  3792,2022-045AL,52365,6713.877,91.247,336.441,335.043,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-07 22:00:00,999936,15.77970253,0.0001032,53.2173,36.5461,87.7352,1.9208,0,999,178,-0.0056001,-0.00875442,0,3434697,0 STARLINK-3874,1 52365U 22045AL  22127.91667824 -.00875442  00000-0 -56001-2 0  9997,2 52365  53.2173  36.5461 0001032  87.7352   1.9208 15.77970253  1789,2022-045AL,52365,6714.329,91.256,336.887,335.501,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-08 14:00:01,224,15.76710386,0.0001092,53.2175,33.2254,102.9931,174.4572,0,999,188,-0.0059077,-0.00872971,0,3435746,0 STARLINK-3874,1 52365U 22045AL  22128.58334491 -.00872971  00000-0 -59077-2 0  9992,2 52365  53.2175  33.2254 0001092 102.9931 174.4572 15.76710386  1883,2022-045AL,52365,6717.905,91.329,340.504,339.037,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-08 20:00:01,224,15.76240387,0.0001135,53.2178,31.983,92.2637,164.8279,0,999,395,-0.0060544,-0.00875816,0,3435941,0 STARLINK-3874,1 52365U 22045AL  22128.83334491 -.00875816  00000-0 -60544-2 0  9992,2 52365  53.2178  31.9830 0001135  92.2637 164.8279 15.76240387  3959,2022-045AL,52365,6719.241,91.357,341.868,340.343,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-08 22:00:00,999936,15.76083248,9.76e-05,53.2177,31.5694,86.0229,284.1886,0,999,194,-0.0061004,-0.00876231,0,3436768,0 STARLINK-3874,1 52365U 22045AL  22128.91667824 -.00876231  00000-0 -61004-2 0  9994,2 52365  53.2177  31.5694 0000976  86.0229 284.1886 15.76083248  1940,2022-045AL,52365,6719.687,91.366,342.208,340.897,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-09 14:00:01,999872,15.74822977,0.0001155,53.2171,28.2578,95.3717,98.1622,0,999,204,-0.0064225,-0.00872989,0,3437431,0 STARLINK-3874,1 52365U 22045AL  22129.58335648 -.00872989  00000-0 -64225-2 0  9998,2 52365  53.2171  28.2578 0001155  95.3717  98.1622 15.74822977  2044,2022-045AL,52365,6723.272,91.439,345.914,344.36,0
