OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2025-10-13T21:12:41.984928,13.76243834,.00239894,90.2175,66.0682,320.0351,137.7279,0,U,900,999,3754,.90931355E-3,.896E-5,0
CALSPHERE 2,1964-063E,2025-10-13T21:36:03.765312,13.52875277,.00173469,90.2307,69.9783,217.6364,241.3502,0,U,902,999,82296,.12690716E-3,.93E-6,0
LCS 1,1965-034C,2025-10-13T16:26:06.551520,9.89309166,.00135687,32.1451,42.3007,328.9508,31.0187,0,U,1361,999,18547,-.10130231E-2,.1E-7,0
TEMPSAT 1,1965-065E,2025-10-13T19:40:17.829120,13.33574771,.0068231,89.9885,212.7215,219.4295,225.4832,0,U,1512,999,92721,.11520036E-3,.66E-6,0
CALSPHERE 4A,1965-065H,2025-10-13T22:50:14.486784,13.36222875,.00713614,89.9097,124.7683,78.7302,18.6640,0,U,1520,999,92982,.21706788E-3,.123E-5,0
OPS 5712 (P/L 160),1967-053A,2025-10-13T23:09:49.188096,14.72636603,.00047567,69.9183,279.6757,321.3387,38.7417,0,U,2826,999,2991,.18391958E-2,.11679E-3,0
LES-5,1967-066E,2025-10-13T15:53:47.809824,1.09425021,.00539549,2.0537,104.7621,196.2002,120.9367,0,U,2866,999,12833,0,-.56E-6,0
SURCAL 159,1967-053F,2025-10-13T22:42:51.067296,13.99515166,.00039943,69.9735,171.0377,64.5913,295.5608,0,U,2872,999,97575,.12462792E-3,.128E-5,0
OPS 5712 (P/L 153),1967-053H,2025-10-13T23:57:29.136960,13.96774349,.00065831,69.9722,282.9718,180.2201,179.8904,0,U,2874,999,97240,.9547812E-4,.79E-6,0
SURCAL 150B,1967-053J,2025-10-13T21:45:00.006912,15.87573491,.00128214,69.8967,144.8874,202.8957,157.1677,0,U,2909,999,4402,.86417487E-2,.2230995E-1,.28099967E-2
OPS 3811 (DSP 2),1971-039A,2025-10-13T20:50:56.822208,0.98161081,.00229579,0.4401,301.2365,339.7650,177.6531,0,U,5204,999,20381,0,-.145E-5,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2025-10-13T22:36:41.433408,14.37406169,.00590622,87.6214,47.1395,331.5038,28.2935,0,U,5398,999,83850,.35089852E-3,.1087E-4,0
OSCAR 7 (AO-7),1974-089B,2025-10-13T23:01:20.959104,12.53692402,.00119331,101.9987,292.5897,240.7530,148.4494,0,U,7530,999,32966,.76606684E-4,-.34E-6,0
STARLETTE,1975-010A,2025-10-13T22:25:14.710656,13.82345379,.020571,49.8265,356.6030,329.5301,29.3769,0,U,7646,999,56047,.11052305E-4,-.128E-5,0
LAGEOS 1,1976-039A,2025-10-13T23:32:18.674016,6.38664834,.00446639,109.8418,95.0184,354.9822,159.9140,0,U,8820,999,89741,0,.34E-6,0
