OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,REV_AT_EPOCH,BSTAR,orbital_period_min,altitude_estimated,drag_index,energy_index,orbit_type,orbit_family,anomaly_score,anomaly_flag
CALSPHERE 1,1964-063C,900,2025-10-13 21:12:41.984928,13.76243834,0.00239894,90.2175,66.0682,320.0351,137.7279,8.96e-06,0.0,3754,0.00090931355,104.63262137311055,984.3766574836582,2.181388647637e-06,0.002639849887974708,LEO,LEO,-0.13214789084005302,1
CALSPHERE 2,1964-063E,902,2025-10-13 21:36:03.765312,13.52875277,0.00173469,90.2307,69.9783,217.6364,241.3502,9.3e-07,0.0,82296,0.00012690716,106.43996711900886,1068.8355224422912,2.2014458138040001e-07,0.002731835117741051,LEO,LEO,-0.10745936256376598,1
LCS 1,1965-034C,1361,2025-10-13 16:26:06.551520,9.89309166,0.00135687,32.1451,42.3007,328.9508,31.0187,1e-08,0.0,18547,-0.0010130231,145.55611627679997,2795.0133635112416,-1.3745406536970002e-06,0.0051086475177433725,MEO,MEO,-0.0677427734376792,1
TEMPSAT 1,1965-065E,1512,2025-10-13 19:40:17.829120,13.33574771,0.0068231,89.9885,212.7215,219.4295,225.4832,6.6e-07,0.0,92721,0.00011520036,107.9804470896068,1140.4467731773675,7.860235763160001e-07,0.002811481711436963,LEO,LEO,-0.07076280204494378,1
CALSPHERE 4A,1965-065H,1520,2025-10-13 22:50:14.486784,13.36222875,0.00713614,89.9097,124.7683,78.7302,18.664,1.23e-06,0.0,92982,0.00021706788,107.76645325728315,1130.5194532252071,1.5490267811832e-06,0.002800349259175876,LEO,LEO,-0.041544444685566506,1
OPS 5712 (P/L 160),1967-053A,2826,2025-10-13 23:09:49.188096,14.72636603,0.00047567,69.9183,279.6757,321.3387,38.7417,0.00011679,0.0,2991,0.0018391958,97.78379792180135,659.80059419589,8.74850266186e-07,0.0023055727083361502,LEO,LEO,-0.18302113976285445,1
LES-5,1967-066E,2866,2025-10-13 15:53:47.809824,1.09425021,0.00539549,2.0537,104.7621,196.2002,120.9367,-5.6e-07,0.0,12833,0.0,1315.9695898070697,33408.32555808122,0.0,0.4175771511615035,MEO,MEO,0.016087108770839187,-1
SURCAL 159,1967-053F,2872,2025-10-13 22:42:51.067296,13.99515166,0.00039943,69.9735,171.0377,64.5913,295.5608,1.28e-06,0.0,97575,0.00012462792,102.89277565427969,902.6115205629849,4.97801300856e-08,0.0025527882141787067,LEO,LEO,-0.12336936079415423,1
OPS 5712 (P/L 153),1967-053H,2874,2025-10-13 23:57:29.136960,13.96774349,0.00065831,69.9722,282.9718,180.2201,179.8904,7.9e-07,0.0,97240,9.547812e-05,103.09467674796196,912.1234955524169,6.28542011772e-08,0.00256281644814978,LEO,LEO,-0.12326516200026966,1
SURCAL 150B,1967-053J,2909,2025-10-13 21:45:00.006912,15.87573491,0.00128214,69.8967,144.8874,202.8957,157.1677,0.02230995,0.0028099967,4402,0.0086417487,90.70446238636521,316.2252024307254,1.1079931678218e-05,0.00198382028761563,LEO,LEO,-0.022742770213675545,1
OPS 3811 (DSP 2),1971-039A,5204,2025-10-13 20:50:56.822208,0.98161081,0.00229579,0.4401,301.2365,339.765,177.6531,-1.45e-06,0.0,20381,0.0,1466.9765097635793,36396.01638717546,0.0,0.5189091628564172,GEO,GEO,0.04911396744347729,-1
RIGIDSPHERE 2 (LCS 4),1971-067E,5398,2025-10-13 22:36:41.433408,14.37406169,0.00590622,87.6214,47.1395,331.5038,28.2935,1.087e-05,0.0,83850,0.00035089852,100.18045219618088,774.2183525965656,2.0724838567944004e-06,0.0024199756467571574,LEO,LEO,-0.06754224698112887,1
OSCAR 7 (AO-7),1974-089B,7530,2025-10-13 23:01:20.959104,12.53692402,0.00119331,101.9987,292.5897,240.753,148.4494,-3.4e-07,0.0,32966,7.6606684e-05,114.86071046636206,1456.2254917650262,9.141552208403999e-08,0.003181178339322303,LEO,LEO,-0.12029489737337906,1
