OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,REV_AT_EPOCH,BSTAR,orbital_period_min,altitude_estimated,drag_index,energy_index,orbit_type,orbit_family,anomaly_score,anomaly_flag
CLUSTER II-FM5 (RUMBA),2000-045A,26463,2025-10-06 15:45:09.134208,0.42958277,0.91176583,146.6979,96.1587,315.8839,1.9747,0.00010692,-6.365976e-06,1904,0.0,3352.0897497820965,67823.31085334888,0.0,2.709419774931086,GEO,HEO,0.11838404110587364,-1
IMAGE,2000-017A,26113,2025-10-10 01:37:51.064896,1.68663288,0.76142605,93.951,311.7881,317.0625,4.2756,-2.72e-06,0.0,15728,-0.015372449,853.77204314907,23440.795473291775,-0.01170498312089645,0.17576357582536103,MEO,MEO,0.11730326323051632,-1
THEMIS A,2007-004A,30580,2025-10-11 23:54:28.822752,0.8783511,0.84485146,4.0753,154.1403,126.509,342.3938,7.6e-07,0.0,3909,0.0041134608,1639.4355286855107,39685.37384097019,0.003475263362532768,0.6480875898718027,GEO,GEO,0.11397680790478293,-1
MMS 2,2015-011B,40483,2025-10-14 00:00:04.999968,0.283787,0.85730291,68.09,352.545,162.1654,26.9301,-1.418e-05,0.0,137,0.0,5074.228206366042,91444.311731756,0.0,6.208476053790688,GEO,HEO,0.11342696212375403,-1
MMS 4,2015-011D,40485,2025-10-14 00:00:04.999968,0.28378772,0.85721593,68.0817,352.5422,162.1836,26.8619,-1.419e-05,0.0,137,0.0,5074.215332502759,91444.14628636785,0.0,6.208444550686266,GEO,HEO,0.11342696212375403,-1
MMS 1,2015-011A,40482,2025-10-14 00:00:04.999968,0.28378677,0.85704085,68.0855,352.5477,162.1686,26.9098,-1.418e-05,0.0,137,0.0,5074.232318863913,91444.36458251353,0.0,6.2084861173329084,GEO,HEO,0.11342696212375403,-1
MMS 3,2015-011C,40484,2025-10-14 00:00:04.999968,0.28378716,0.85719079,68.0932,352.5552,162.1751,26.8986,-1.419e-05,0.0,137,0.0,5074.22534550189,91444.27496605372,0.0,6.208469053080096,GEO,HEO,0.11342696212375403,-1
CLUSTER II-FM8 (TANGO),2000-045B,26464,2025-10-14 23:52:22.675296,0.44417766,0.86521941,146.8337,20.2833,235.6391,0.777,6.51e-06,0.0,1920,0.0,3241.9460267317363,66189.01548994296,0.0,2.5342915799193895,GEO,HEO,0.11328407656583495,-1
CLUSTER II-FM7 (SAMBA),2000-041A,26410,2025-10-03 11:21:06.895008,0.44781325,0.8618747,146.2679,18.6784,234.1801,0.6428,1.051e-05,0.0,1916,0.0,3215.6261566624034,65795.76122770636,0.0,2.493309119263942,GEO,HEO,0.11311813697167061,-1
CXO,1999-040B,25867,2025-10-15 10:30:58.729536,0.37806235,0.82391564,51.9505,124.6447,310.6333,0.0894,8.26e-06,0.0,1639,0.0,3808.8955432880316,74419.36216174363,0.0,3.498187996643381,GEO,HEO,0.10813141721316966,-1
NVS-02 (IRNSS-1K),2025-020A,62850,2025-10-11 12:02:08.742912,2.17514688,0.735437,21.1018,350.1146,345.8338,1.6692,1.027e-05,0.0,556,0.00069315903,662.0242583342234,18790.86235234236,0.00050977479754611,0.10568000545500063,MEO,MEO,0.09951266598255837,-1
COSMOS 2518,2017-027A,42719,2025-10-10 17:50:13.356096,2.00749954,0.71072333,63.0711,279.5746,273.0694,14.9565,6.52e-06,0.0,6139,-0.015751098,717.31025153809,20172.90850492215,-0.01119467282171634,0.12406780405132088,MEO,MEO,0.09858015565065481,-1
XMM-NEWTON,1999-066A,25989,2025-10-16 00:43:48.787392,0.50134194,0.4770935,65.6996,286.1977,69.2389,0.1682,1.6e-07,0.0,2178,0.0,2872.2911153214113,60562.85159968473,0.0,1.9893075451278737,GEO,HEO,0.09290895470865612,-1
PROBA-3 CSC,2024-233A,62256,2025-10-12 03:27:06.450624,1.22076585,0.8042006,59.4589,118.574,198.1406,92.2646,-5.4e-07,0.0,379,0.00087659867,1179.5873877042022,30610.13705002454,0.000704961176373202,0.3355098392242534,MEO,MEO,0.09002853354682339,-1
ARASE (ERG),2016-080A,41896,2025-10-10 13:51:50.702688,2.57160417,0.6980648,31.5062,107.772,254.8397,23.9892,2.53e-06,0.0,8185,0.00073072,559.961761144601,16133.313045650462,0.0005100899106560001,0.07560695745181405,MEO,MEO,0.08744125741930042,-1
